run,timestamp,lasso_alpha,lasso_max_iter,LR_type,LR_alpha,LR_max_iter,RF_type,RF_n_estimators,RF_max_depth,RF_min_samples_leaf,RF_min_samples_split,RF_max_features,RF_random_state,RF_n_jobs,GB_type,GB_objective,GB_boosting_type,GB_num_leaves,GB_max_depth,GB_learning_rate,GB_n_estimators,GB_min_child_samples,GB_subsample,GB_colsample_bytree,GB_reg_alpha,GB_reg_lambda,GB_random_state,GB_n_jobs,GB_verbose,device,input_length,pred_length,valid_length,features_in_future,batch_size,learning_rate,weight_decay,dropout,min_delta,patch_length,stride,geo_block_ratio,lambda_cross,lambda_coverage,lambda_deriv,lambda_median,smoothing_cross,saturation_cold_degC,threshold_cold_degC,lambda_cold,epochs,model_dim,warmup_steps,patience,num_layers,num_heads,ffn_size,num_geo_blocks,num_patches,quantiles_0,quantiles_1,quantiles_2,quantiles_3,quantiles_4,metaNN_batch_size,metaNN_learning_rate,metaNN_weight_decay,metaNN_dropout,metaNN_patience,metaNN_factor,metaNN_device,metaNN_epochs,metaNN_num_cells_0,metaNN_num_cells_1,q10,q25,q50,q75,q90,avg_weight_meta_NN_NN,avg_weight_meta_NN_LR,avg_weight_meta_NN_RF,avg_weight_meta_NN_GB,test_NN_bias,test_NN_RMSE,test_NN_MAE,test_LR_bias,test_LR_RMSE,test_LR_MAE,test_RF_bias,test_RF_RMSE,test_RF_MAE,test_GB_bias,test_GB_RMSE,test_GB_MAE,test_meta_LR_bias,test_meta_LR_RMSE,test_meta_LR_MAE,test_meta_NN_bias,test_meta_NN_RMSE,test_meta_NN_MAE,avg_abs_worst_days_train,overall_loss
0,2026-01-03 14:39:00,0.02,2000,lasso,0.02,2000,rf,500,20,15,20,sqrt,0,4,lgbm,regression,gbdt,31,5,0.05,500,20,0.8,0.8,0.1,0.1,0,4,-1,cuda,672,72,48,True,32,3868.0,0.0,0.052789,0.025,24,12,1,0.582985,0.790479,0.095166,0.832505,0.032113,-5.0,3.0,0.0,22,96,3250,3,1,4,3,5,61,0.1,0.25,0.5,0.75,0.9,128,365.0,5.0,0.090561,3,0.781658,cuda,12,32,16,0.047002,0.063369,0.104317,0.076679,0.035312,0.041869,0.2249,0.175426,0.557805,0.78415,4.6276,3.4191,-0.420445,2.727,2.1918,1.455809,2.6451,2.0008,0.890647,2.0422,1.5815,0.228144,1.8631,1.4194,0.594052,1.8622,1.4304,2.0,3.9728
1,2026-01-03 14:40:00,0.02,2000,lasso,0.02,2000,rf,500,20,15,20,sqrt,0,4,lgbm,regression,gbdt,31,5,0.05,500,20,0.8,0.8,0.1,0.1,0,4,-1,cuda,672,72,48,True,64,9614.0,0.0,0.075586,0.025,24,12,1,1.270784,0.210144,0.025295,0.603316,0.028648,-5.0,3.0,0.0,22,96,2500,5,2,3,3,5,61,0.1,0.25,0.5,0.75,0.9,256,210.0,7.0,0.052494,3,0.750899,cuda,12,32,16,0.105396,0.177818,0.164598,0.101169,0.047332,0.163022,0.267355,0.238856,0.330767,0.910038,2.6207,2.042,-0.420445,2.727,2.1918,1.455809,2.6451,2.0008,0.890647,2.0422,1.5815,0.204059,1.818,1.3949,0.639764,1.9651,1.5044,2.0,4.6159
2,2026-01-03 14:40:00,0.02,2000,lasso,0.02,2000,rf,500,20,15,20,sqrt,0,4,lgbm,regression,gbdt,31,5,0.05,500,20,0.8,0.8,0.1,0.1,0,4,-1,cuda,672,72,48,True,32,21342.0,0.0,0.072181,0.025,24,12,1,1.483294,0.777561,0.138049,0.731045,0.031837,-5.0,3.0,0.0,30,125,3250,5,3,5,5,3,61,0.1,0.25,0.5,0.75,0.9,512,392.0,6.0,0.109953,5,0.682447,cuda,12,32,16,0.067776,0.060342,0.043765,0.009472,-0.016996,0.172788,0.244892,0.231514,0.350806,0.099399,2.5508,1.95,-0.420445,2.727,2.1918,1.455809,2.6451,2.0008,0.890647,2.0422,1.5815,0.143093,1.806,1.387,0.515886,1.9175,1.4685,2.0,3.8492
3,2026-01-03 14:41:00,0.02,2000,lasso,0.02,2000,rf,500,20,15,20,sqrt,0,4,lgbm,regression,gbdt,31,5,0.05,500,20,0.8,0.8,0.1,0.1,0,4,-1,cuda,672,72,48,True,96,12039.0,0.0,0.071603,0.025,24,12,1,1.21458,0.355386,0.005467,0.359054,0.012288,-5.0,3.0,0.0,30,96,3250,7,2,3,4,7,61,0.1,0.25,0.5,0.75,0.9,512,313.0,15.0,0.079462,5,0.833008,cuda,12,24,12,0.081865,0.144005,0.109382,0.063759,0.039149,0.208262,0.246472,0.229884,0.315383,0.613324,2.5845,1.9878,-0.420445,2.727,2.1918,1.455809,2.6451,2.0008,0.890647,2.0422,1.5815,0.204757,1.8271,1.4005,0.593365,2.0036,1.5369,2.0,4.333
0,2026-01-03 14:41:00,0.02,2000,lasso,0.02,2000,rf,500,20,15,20,sqrt,0,4,lgbm,regression,gbdt,31,5,0.05,500,20,0.8,0.8,0.1,0.1,0,4,-1,cuda,672,72,48,True,32,3640.0,0.0,0.111658,0.025,24,12,1,1.241992,0.657371,0.036454,0.700047,0.028802,-5.0,3.0,0.0,22,159,1750,3,2,3,4,3,61,0.1,0.25,0.5,0.75,0.9,128,537.0,10.0,0.032554,4,0.76809,cuda,12,40,20,0.119005,0.205156,0.166517,0.097332,0.051739,0.066678,0.258822,0.176334,0.498166,1.010844,2.6759,2.0963,-0.420445,2.727,2.1918,1.455809,2.6451,2.0008,0.890647,2.0422,1.5815,0.211436,1.82,1.3976,0.540142,1.8161,1.3893,2.0,4.7965
1,2026-01-03 14:46:00,0.02,2000,lasso,0.02,2000,rf,500,20,15,20,sqrt,0,4,lgbm,regression,gbdt,31,5,0.05,500,20,0.8,0.8,0.1,0.1,0,4,-1,cuda,672,72,48,True,64,6264.0,0.0,0.090159,0.025,24,12,1,1.899197,0.612259,0.10919,0.545944,0.037469,-5.0,3.0,0.0,22,95,1750,3,2,5,5,5,61,0.1,0.25,0.5,0.75,0.9,512,237.0,7.0,0.071081,4,0.614981,cuda,12,24,12,0.039448,0.063309,0.078897,0.071763,0.06262,0.165552,0.21869,0.325224,0.290534,0.486152,3.1397,2.3763,-0.420445,2.727,2.1918,1.455809,2.6451,2.0008,0.890647,2.0422,1.5815,0.191115,1.8306,1.3979,0.680384,2.1585,1.6555,2.0,3.9435
2,2026-01-03 14:48:00,0.02,2000,lasso,0.02,2000,rf,500,20,15,20,sqrt,0,4,lgbm,regression,gbdt,31,5,0.05,500,20,0.8,0.8,0.1,0.1,0,4,-1,cuda,672,72,48,True,128,18887.0,0.0,0.062967,0.025,24,12,1,1.392157,0.308044,0.043387,0.443491,0.025051,-5.0,3.0,0.0,37,160,3250,7,2,4,3,3,61,0.1,0.25,0.5,0.75,0.9,128,418.0,5.0,0.086192,3,0.738397,cuda,12,32,16,0.164239,0.252368,0.202578,0.109682,0.053028,0.101905,0.270262,0.155527,0.472306,1.016133,2.3691,1.8817,-0.420445,2.727,2.1918,1.455809,2.6451,2.0008,0.890647,2.0422,1.5815,0.144641,1.8659,1.4401,0.558791,1.8252,1.3963,2.0,5.1131
3,2026-01-03 14:50:00,0.02,2000,lasso,0.02,2000,rf,500,20,15,20,sqrt,0,4,lgbm,regression,gbdt,31,5,0.05,500,20,0.8,0.8,0.1,0.1,0,4,-1,cuda,672,72,48,True,128,19476.0,0.0,0.100897,0.025,24,12,1,1.692466,0.660359,0.172184,0.923198,0.046715,-5.0,3.0,0.0,37,126,3250,7,2,3,5,7,61,0.1,0.25,0.5,0.75,0.9,512,161.0,5.0,0.023706,3,0.751148,cuda,12,40,20,0.17491,0.261841,0.216667,0.130725,0.058993,0.229742,0.25004,0.214485,0.305733,1.191444,2.6063,2.0921,-0.420445,2.727,2.1918,1.455809,2.6451,2.0008,0.890647,2.0422,1.5815,0.169572,1.8714,1.4419,0.798826,2.1029,1.625,2.0,5.2322
4,2026-01-03 14:51:00,0.02,2000,lasso,0.02,2000,rf,500,20,15,20,sqrt,0,4,lgbm,regression,gbdt,31,5,0.05,500,20,0.8,0.8,0.1,0.1,0,4,-1,cuda,672,72,48,True,128,2854.0,0.0,0.098523,0.025,24,12,1,1.32666,0.561292,0.231419,0.483443,0.016641,-5.0,3.0,0.0,37,96,3250,7,3,3,5,7,61,0.1,0.25,0.5,0.75,0.9,256,181.0,6.0,0.099926,6,0.833991,cuda,12,40,20,0.211871,0.220054,0.179376,0.071493,0.004496,0.071352,0.335597,0.260198,0.332854,2.25184,7.7402,6.3417,-0.420445,2.727,2.1918,1.455809,2.6451,2.0008,0.890647,2.0422,1.5815,0.293922,1.9535,1.5197,0.623421,2.2111,1.7142,2.0,5.968
5,2026-01-03 14:53:00,0.02,2000,lasso,0.02,2000,rf,500,20,15,20,sqrt,0,4,lgbm,regression,gbdt,31,5,0.05,500,20,0.8,0.8,0.1,0.1,0,4,-1,cuda,672,72,48,True,96,5756.0,0.0,0.031559,0.025,24,12,1,0.553025,0.816935,0.243549,0.244167,0.022184,-5.0,3.0,0.0,37,160,1750,3,3,5,4,5,61,0.1,0.25,0.5,0.75,0.9,128,223.0,16.0,0.03823,3,0.689911,cuda,12,32,16,0.103597,0.16226,0.133094,0.082974,0.030995,0.123333,0.222205,0.210715,0.443747,0.674781,2.7182,2.0863,-0.420445,2.727,2.1918,1.455809,2.6451,2.0008,0.890647,2.0422,1.5815,0.182976,1.804,1.3822,0.608548,1.8477,1.4119,2.0,4.4585
