run,timestamp,LR_type,LR_alpha,LR_max_iter,RF_type,RF_n_estimators,RF_max_depth,RF_min_samples_leaf,RF_min_samples_split,RF_max_features,RF_random_state,RF_n_jobs,LGBM_type,LGBM_objective,LGBM_boosting_type,LGBM_num_leaves,LGBM_max_depth,LGBM_learning_rate,LGBM_n_estimators,LGBM_min_child_samples,LGBM_subsample,LGBM_colsample_bytree,LGBM_reg_alpha,LGBM_reg_lambda,LGBM_random_state,LGBM_n_jobs,LGBM_verbose,use_ML_features,device,input_length,pred_length,valid_length,features_in_future,epochs,batch_size,model_dim,num_layers,num_heads,ffn_size,num_geo_blocks,learning_rate,weight_decay,dropout,warmup_steps,patience,min_delta,patch_length,stride,geo_block_ratio,lambda_cross,lambda_coverage,lambda_deriv,lambda_median,smoothing_cross,saturation_cold_degC,threshold_cold_degC,lambda_cold,lambda_regions,lambda_regions_sum,quantiles_0,quantiles_1,quantiles_2,quantiles_3,quantiles_4,metaNN_batch_size,metaNN_epochs,metaNN_learning_rate,metaNN_weight_decay,metaNN_dropout,metaNN_patience,metaNN_factor,metaNN_device,metaNN_num_cells_0,metaNN_num_cells_1,num_features,q10,q25,q50,q75,q90,avg_weight_meta_NN_NNTQ_q50,avg_weight_meta_NN_LR,avg_weight_meta_NN_RF,avg_weight_meta_NN_LGBM,test_NNTQ_bias,test_NNTQ_RMSE,test_NNTQ_MAE,test_LR_bias,test_LR_RMSE,test_LR_MAE,test_RF_bias,test_RF_RMSE,test_RF_MAE,test_LGBM_bias,test_LGBM_RMSE,test_LGBM_MAE,test_meta_LR_bias,test_meta_LR_RMSE,test_meta_LR_MAE,test_meta_NN_bias,test_meta_NN_RMSE,test_meta_NN_MAE,avg_abs_worst_days_test,num_runs,loss_NNTQ,loss_meta
244,2026-02-03 13:35:52.956050,ridge,1.300000,2000,rf,500,25,17,12,sqrt,0,4,lgbm,regression,gbdt,15,7,0.160000,350,12,0.900000,0.620000,0.090000,0.150000,0,4,-1,0,cuda,672,72,48,True,20,128,540,5,5,7,5,2800.000000,0.001430,0.400000,1800,5,0.042000,48,24,1,0.024000,0.096000,0.036000,0.000000,0.058000,-7.900000,-0.800000,0.220000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,96,1,3600.000000,0.150000,0.110000,4,0.700000,cuda,60,24,63,-0.000742,0.021242,0.039914,0.020220,0.024322,0.013007,0.215354,0.137775,0.633864,0.537795,3.932600,3.015700,-0.676895,2.680200,2.109400,1.528116,3.026000,2.252600,1.269739,2.433100,1.825000,-0.989695,2.053700,1.638600,0.587217,2.244700,1.705300,3.003427,7,9.340000,1.545720
245,2026-02-03 13:36:54.731545,ridge,1.300000,2000,rf,500,25,17,12,sqrt,0,4,lgbm,regression,gbdt,15,7,0.160000,350,12,0.900000,0.620000,0.090000,0.150000,0,4,-1,0,cuda,672,72,48,True,20,128,540,5,5,7,5,2000.000000,0.001480,0.400000,1700,5,0.042000,48,24,1,0.024000,0.096000,0.036000,0.000000,0.060000,-7.800000,-0.800000,0.210000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,96,1,3600.000000,0.150000,0.110000,4,0.700000,cuda,60,24,63,0.006826,0.041667,0.104547,0.098060,0.052869,0.003881,0.275015,0.185595,0.535509,1.154494,4.276100,3.266600,-0.676895,2.680200,2.109400,1.528116,3.026000,2.252600,1.269739,2.433100,1.825000,-0.921573,2.033200,1.614900,0.492130,2.273900,1.729900,3.260478,1,16.940000,1.518800
246,2026-02-03 13:44:06.306739,ridge,1.300000,2000,rf,500,25,17,12,sqrt,0,4,lgbm,regression,gbdt,15,7,0.160000,350,12,0.900000,0.620000,0.090000,0.150000,0,4,-1,0,cuda,672,72,48,True,20,128,540,5,5,7,5,2400.000000,0.001459,0.400000,1800,5,0.042000,48,24,1,0.026000,0.096000,0.036000,0.000000,0.058000,-7.900000,-0.900000,0.220000,0.032000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,96,1,3600.000000,0.150000,0.110000,4,0.700000,cuda,60,24,63,0.012786,0.038453,0.079593,0.059812,0.036273,0.009236,0.246900,0.217613,0.526251,0.869561,3.935400,3.010100,-0.676895,2.680200,2.109400,1.528116,3.026000,2.252600,1.269739,2.433100,1.825000,-0.962259,2.041800,1.629000,0.501760,2.249900,1.726000,2.997723,7,11.530000,1.534360
247,2026-02-03 13:50:58.847931,ridge,1.300000,2000,rf,500,25,17,12,sqrt,0,4,lgbm,regression,gbdt,15,7,0.160000,350,12,0.900000,0.620000,0.090000,0.150000,0,4,-1,0,cuda,672,72,48,True,20,128,520,5,5,7,5,2800.000000,0.001483,0.400000,1700,5,0.042000,48,24,1,0.020000,0.084000,0.048000,0.000000,0.060000,-7.800000,-0.600000,0.210000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,96,1,3600.000000,0.150000,0.110000,4,0.700000,cuda,60,24,63,-0.016988,-0.021388,-0.046166,-0.016947,-0.008257,0.028972,0.276087,0.168569,0.526372,-0.225079,3.748300,2.929800,-0.676895,2.680200,2.109400,1.528116,3.026000,2.252600,1.269739,2.433100,1.825000,-1.030165,2.081500,1.670700,0.383433,2.257600,1.707600,2.916529,7,9.370000,1.538460
248,2026-02-03 13:57:50.108115,ridge,1.300000,2000,rf,500,25,17,12,sqrt,0,4,lgbm,regression,gbdt,15,7,0.160000,350,12,0.900000,0.620000,0.090000,0.150000,0,4,-1,0,cuda,672,72,48,True,20,128,520,5,5,7,5,2800.000000,0.001441,0.400000,1600,5,0.042000,48,24,1,0.020000,0.084000,0.044000,0.000000,0.058000,-7.800000,-0.700000,0.210000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,96,1,3600.000000,0.150000,0.110000,4,0.700000,cuda,60,24,63,-0.021955,-0.046020,-0.092859,-0.096774,-0.028915,0.029065,0.229109,0.150980,0.590846,-0.605661,3.535800,2.813000,-0.676895,2.680200,2.109400,1.528116,3.026000,2.252600,1.269739,2.433100,1.825000,-1.105774,2.090700,1.682700,0.532230,2.201600,1.667300,2.801302,7,15.000000,1.533960
249,2026-02-03 14:04:42.934431,ridge,1.300000,2000,rf,500,25,17,12,sqrt,0,4,lgbm,regression,gbdt,15,7,0.160000,350,12,0.900000,0.620000,0.090000,0.150000,0,4,-1,0,cuda,672,72,48,True,20,128,520,5,5,7,5,2400.000000,0.001370,0.400000,1700,5,0.042000,48,24,1,0.022000,0.084000,0.048000,0.000000,0.060000,-7.700000,-0.800000,0.210000,0.048000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,96,1,3600.000000,0.150000,0.110000,4,0.700000,cuda,60,24,63,-0.016842,-0.030008,-0.046196,-0.038569,0.010034,0.031068,0.292264,0.201854,0.474813,-0.322615,3.874600,2.976100,-0.676895,2.680200,2.109400,1.528116,3.026000,2.252600,1.269739,2.433100,1.825000,-1.043364,2.081400,1.663800,0.347233,2.283000,1.732200,2.965831,7,10.290000,1.534520
250,2026-02-03 14:05:41.039219,ridge,1.300000,2000,rf,500,25,17,12,sqrt,0,4,lgbm,regression,gbdt,15,7,0.160000,350,12,0.900000,0.620000,0.090000,0.150000,0,4,-1,0,cuda,672,72,48,True,20,128,520,5,5,7,5,1600.000000,0.001404,0.400000,1700,5,0.042000,48,24,1,0.018000,0.084000,0.040000,0.000000,0.058000,-2.100000,-0.600000,0.220000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,96,1,3600.000000,0.150000,0.110000,4,0.700000,cuda,60,24,63,0.020676,0.066036,0.130493,0.107118,0.052110,0.012815,0.278975,0.174517,0.533693,1.357301,4.707400,3.606000,-0.676895,2.680200,2.109400,1.528116,3.026000,2.252600,1.269739,2.433100,1.825000,-1.013149,2.126300,1.691600,0.419335,2.290000,1.741800,3.608299,1,18.720000,1.530100
251,2026-02-03 14:06:39.045083,ridge,1.300000,2000,rf,500,25,17,12,sqrt,0,4,lgbm,regression,gbdt,15,7,0.160000,350,12,0.900000,0.620000,0.090000,0.150000,0,4,-1,0,cuda,672,72,48,True,20,128,520,5,5,7,5,2800.000000,0.001354,0.380000,1600,5,0.042000,48,24,1,0.024000,0.096000,0.036000,0.000000,0.060000,-7.900000,-0.900000,0.210000,0.032000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,96,1,3600.000000,0.150000,0.110000,4,0.700000,cuda,60,24,63,-0.011115,-0.063493,-0.064779,-0.076233,-0.031078,0.024043,0.267136,0.103662,0.605159,-0.395933,3.720900,2.895300,-0.676895,2.680200,2.109400,1.528116,3.026000,2.252600,1.269739,2.433100,1.825000,-1.001953,2.045900,1.632000,0.432787,2.195400,1.655200,2.885631,1,13.440000,1.508900
252,2026-02-03 14:07:39.965118,ridge,1.300000,2000,rf,500,25,17,12,sqrt,0,4,lgbm,regression,gbdt,15,7,0.160000,350,12,0.900000,0.620000,0.090000,0.150000,0,4,-1,0,cuda,672,72,48,True,20,128,540,5,5,7,5,2800.000000,0.001523,0.400000,1800,5,0.042000,48,24,1,0.020000,0.084000,0.044000,0.000000,0.060000,-8.000000,-0.700000,0.210000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,96,1,3600.000000,0.150000,0.110000,4,0.700000,cuda,60,24,63,-0.015264,-0.053705,-0.077256,-0.068461,-0.019741,0.024095,0.236374,0.171694,0.567838,-0.423063,3.609700,2.810000,-0.676895,2.680200,2.109400,1.528116,3.026000,2.252600,1.269739,2.433100,1.825000,-1.096472,2.091000,1.681800,0.488407,2.278300,1.734800,2.799082,1,12.520000,1.546300
253,2026-02-03 14:08:34.758351,ridge,1.300000,2000,rf,500,25,17,12,sqrt,0,4,lgbm,regression,gbdt,15,7,0.160000,350,12,0.900000,0.620000,0.090000,0.150000,0,4,-1,0,cuda,672,72,48,True,20,128,520,5,5,7,6,6400.000000,0.001338,0.400000,1700,5,0.038000,48,24,1,0.022000,0.096000,0.052000,0.000000,0.062000,-7.700000,-0.600000,0.200000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,96,1,3600.000000,0.150000,0.110000,4,0.700000,cuda,60,24,63,0.019653,0.022031,-0.049059,-0.072084,-0.031487,0.020776,0.224849,0.137193,0.617183,-0.158119,3.333000,2.651800,-0.676895,2.680200,2.109400,1.528116,3.026000,2.252600,1.269739,2.433100,1.825000,-1.062456,2.092200,1.695900,0.578110,2.285100,1.728300,2.642933,1,13.740000,1.557100
