run,timestamp,LR_type,LR_alpha,LR_max_iter,RF_type,RF_n_estimators,RF_max_depth,RF_min_samples_leaf,RF_min_samples_split,RF_max_features,RF_random_state,RF_n_jobs,LGBM_type,LGBM_objective,LGBM_boosting_type,LGBM_num_leaves,LGBM_max_depth,LGBM_learning_rate,LGBM_n_estimators,LGBM_min_child_samples,LGBM_subsample,LGBM_colsample_bytree,LGBM_reg_alpha,LGBM_reg_lambda,LGBM_random_state,LGBM_n_jobs,LGBM_verbose,use_ML_features,device,input_length,pred_length,valid_length,features_in_future,epochs,batch_size,model_dim,num_layers,num_heads,ffn_size,num_geo_blocks,learning_rate,weight_decay,dropout,warmup_steps,patience,min_delta,patch_length,stride,geo_block_ratio,lambda_cross,lambda_coverage,lambda_deriv,lambda_median,smoothing_cross,saturation_cold_degC,threshold_cold_degC,lambda_cold,lambda_regions,lambda_regions_sum,quantiles_0,quantiles_1,quantiles_2,quantiles_3,quantiles_4,metaNN_batch_size,metaNN_epochs,metaNN_learning_rate,metaNN_weight_decay,metaNN_dropout,metaNN_patience,metaNN_factor,metaNN_device,metaNN_num_cells_0,metaNN_num_cells_1,num_features,q10,q25,q50,q75,q90,avg_weight_meta_NN_NNTQ_q50,avg_weight_meta_NN_LR,avg_weight_meta_NN_RF,avg_weight_meta_NN_LGBM,test_NNTQ_bias,test_NNTQ_RMSE,test_NNTQ_MAE,test_LR_bias,test_LR_RMSE,test_LR_MAE,test_RF_bias,test_RF_RMSE,test_RF_MAE,test_LGBM_bias,test_LGBM_RMSE,test_LGBM_MAE,test_meta_LR_bias,test_meta_LR_RMSE,test_meta_LR_MAE,test_meta_NN_bias,test_meta_NN_RMSE,test_meta_NN_MAE,avg_abs_worst_days_test,num_runs,loss_NNTQ,loss_meta
0,2026-01-22 08:14:40.014050,ridge,1.400000,2000,rf,440,27,18,19,sqrt,0,4,lgbm,regression,gbdt,15,3,0.157000,370,7,0.880000,0.880000,0.100000,0.075000,0,4,-1,0,cuda,672,72,48,True,18,128,525,5,5,6,5,4400.000000,0.011250,0.380000,1900,5,0.036000,42,21,1.000000,0.030000,0.060000,0.040000,0.000000,0.064000,-7.600000,-0.400000,0.180000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,16,13,5000.000000,0.063109,0.130000,4,0.700000,cuda,72,16,55,0.000398,-0.034485,-0.052558,-0.041518,-0.008440,0.043892,0.144845,0.535917,0.275347,-0.229275,3.236900,2.529400,0.046791,2.579400,2.016800,1.448585,2.664300,1.957700,2.664251,3.325600,2.771500,0.170791,1.784900,1.319500,1.011902,2.272200,1.685500,2.522542,1,9.130000,1.512600
1,2026-01-22 08:16:02.056283,ridge,0.700000,2000,rf,540,17,9,22,sqrt,0,4,lgbm,regression,gbdt,31,5,0.132000,410,14,0.840000,0.760000,0.050000,0.050000,0,4,-1,0,cuda,672,72,48,True,18,128,525,5,5,6,5,4400.000000,0.011250,0.380000,1900,5,0.036000,42,21,1.000000,0.030000,0.060000,0.040000,0.000000,0.064000,-7.600000,-0.400000,0.180000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,64,13,2500.000000,5.859967,0.170000,4,0.700000,cuda,56,4,55,0.000398,-0.034485,-0.052558,-0.041518,-0.008440,0.077958,0.196212,0.426807,0.299023,-0.229275,3.236900,2.529400,0.046791,2.579400,2.016800,1.448585,2.664300,1.957700,2.664251,3.325600,2.771500,0.170791,1.784900,1.319500,1.051065,2.232000,1.667000,2.522542,1,9.130000,1.514800
2,2026-01-22 08:23:51.449427,ridge,1.000000,2000,rf,280,22,17,17,sqrt,0,4,lgbm,regression,gbdt,15,9,0.161000,620,15,0.940000,0.680000,0.140000,0.075000,0,4,-1,0,cuda,672,72,48,True,18,128,525,5,5,6,5,4400.000000,0.011250,0.380000,1900,5,0.036000,42,21,1.000000,0.030000,0.060000,0.040000,0.000000,0.064000,-7.600000,-0.400000,0.180000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,32,17,3500.000000,0.057754,0.130000,4,0.700000,cuda,48,16,55,0.000398,-0.034485,-0.052558,-0.041518,-0.008440,0.043129,0.149540,0.495110,0.312221,-0.229275,3.236900,2.529400,0.046791,2.579400,2.016800,1.448585,2.664300,1.957700,2.664251,3.325600,2.771500,0.170791,1.784900,1.319500,1.070069,2.285200,1.703700,2.522542,1,9.260000,1.529000
8,2026-01-22 08:32:51.610072,ridge,1.400000,2000,rf,350,23,16,21,sqrt,0,4,lgbm,regression,gbdt,7,2,0.017000,350,11,0.660000,0.780000,0.110000,0.135000,0,4,-1,0,cuda,672,72,48,True,18,128,525,5,5,6,5,4400.000000,0.011250,0.380000,1900,5,0.036000,42,21,1.000000,0.030000,0.060000,0.040000,0.000000,0.064000,-7.600000,-0.400000,0.180000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,192,20,2000.000000,86.271112,0.050000,4,0.700000,cuda,64,4,55,0.000398,-0.034485,-0.052558,-0.041518,-0.008440,0.093080,0.244159,0.350210,0.312551,-0.229275,3.236900,2.529400,0.046791,2.579400,2.016800,1.448585,2.664300,1.957700,2.664251,3.325600,2.771500,0.170791,1.784900,1.319500,1.024608,2.253900,1.688100,2.522542,1,9.260000,1.513600
9,2026-01-22 08:34:13.916758,ridge,0.950000,2000,rf,460,16,11,18,sqrt,0,4,lgbm,regression,gbdt,63,5,0.103000,500,22,0.900000,0.680000,0.150000,0.110000,0,4,-1,0,cuda,672,72,48,True,18,128,525,5,5,6,5,4400.000000,0.011250,0.380000,1900,5,0.036000,42,21,1.000000,0.030000,0.060000,0.040000,0.000000,0.064000,-7.600000,-0.400000,0.180000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,128,17,500.000000,0.015218,0.030000,4,0.700000,cuda,56,32,55,0.000398,-0.034485,-0.052558,-0.041518,-0.008440,0.050206,0.214237,0.437302,0.298254,-0.229275,3.236900,2.529400,0.046791,2.579400,2.016800,1.448585,2.664300,1.957700,2.664251,3.325600,2.771500,0.170791,1.784900,1.319500,1.102837,2.257700,1.687200,2.522542,1,9.260000,1.531400
10,2026-01-22 08:35:20.687333,ridge,0.650000,2000,rf,200,25,8,12,sqrt,0,4,lgbm,regression,gbdt,31,7,0.057000,850,18,0.740000,0.940000,0.070000,0.000000,0,4,-1,0,cuda,672,72,48,True,18,128,525,5,5,6,5,4400.000000,0.011250,0.380000,1900,5,0.036000,42,21,1.000000,0.030000,0.060000,0.040000,0.000000,0.064000,-7.600000,-0.400000,0.180000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,640,20,500.000000,0.859817,0.200000,4,0.700000,cuda,40,24,55,0.000398,-0.034485,-0.052558,-0.041518,-0.008440,0.064956,0.216478,0.408519,0.310047,-0.229275,3.236900,2.529400,0.046791,2.579400,2.016800,1.448585,2.664300,1.957700,2.664251,3.325600,2.771500,0.170791,1.784900,1.319500,1.092203,2.262200,1.692600,2.522542,1,9.260000,1.530100
12,2026-01-22 08:43:09.987047,ridge,1.200000,2000,rf,270,15,12,16,sqrt,0,4,lgbm,regression,gbdt,63,7,0.044000,800,17,0.720000,0.600000,0.130000,0.045000,0,4,-1,0,cuda,672,72,48,True,18,128,525,5,5,6,5,4400.000000,0.011250,0.380000,1900,5,0.036000,42,21,1.000000,0.030000,0.060000,0.040000,0.000000,0.064000,-7.600000,-0.400000,0.180000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,16,15,5000.000000,57.062282,0.200000,4,0.700000,cuda,40,24,55,0.000398,-0.034485,-0.052558,-0.041518,-0.008440,0.029992,0.183378,0.520692,0.265938,-0.229275,3.236900,2.529400,0.046791,2.579400,2.016800,1.448585,2.664300,1.957700,2.664251,3.325600,2.771500,0.170791,1.784900,1.319500,1.025188,2.289500,1.707900,2.522542,1,9.260000,1.519900
13,2026-01-22 08:55:52.436618,ridge,1.100000,2000,rf,350,20,13,19,sqrt,0,4,lgbm,regression,gbdt,31,3,0.002000,740,11,0.600000,0.820000,0.040000,0.095000,0,4,-1,0,cuda,672,72,48,True,18,128,525,5,5,6,5,4400.000000,0.011250,0.380000,1900,5,0.036000,42,21,1.000000,0.030000,0.060000,0.040000,0.000000,0.064000,-7.600000,-0.400000,0.180000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,512,19,1500.000000,2.213591,0.170000,4,0.700000,cuda,48,20,55,0.000398,-0.034485,-0.052558,-0.041518,-0.008440,0.044150,0.188864,0.461805,0.305181,-0.229275,3.236900,2.529400,0.046791,2.579400,2.016800,1.448585,2.664300,1.957700,2.664251,3.325600,2.771500,0.170791,1.784900,1.319500,1.134467,2.275900,1.702900,2.522542,5,9.260000,1.526130
14,2026-01-22 08:57:00.426656,ridge,0.500000,2000,rf,580,24,10,22,sqrt,0,4,lgbm,regression,gbdt,63,7,0.030000,550,11,0.680000,0.660000,0.090000,0.140000,0,4,-1,0,cuda,672,72,48,True,18,128,525,5,5,6,5,4400.000000,0.011250,0.380000,1900,5,0.036000,42,21,1.000000,0.030000,0.060000,0.040000,0.000000,0.064000,-7.600000,-0.400000,0.180000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,384,12,4000.000000,20.071616,0.110000,4,0.700000,cuda,48,12,55,0.000398,-0.034485,-0.052558,-0.041518,-0.008440,0.049698,0.204421,0.450951,0.294930,-0.229275,3.236900,2.529400,0.046791,2.579400,2.016800,1.448585,2.664300,1.957700,2.664251,3.325600,2.771500,0.170791,1.784900,1.319500,1.115039,2.310500,1.739000,2.522542,1,9.260000,1.545700
15,2026-01-22 09:03:12.226926,ridge,0.850000,2000,rf,390,19,14,15,sqrt,0,4,lgbm,regression,gbdt,31,4,0.075000,680,18,0.780000,0.640000,0.150000,0.045000,0,4,-1,0,cuda,672,72,48,True,18,128,525,5,5,6,5,4400.000000,0.011250,0.380000,1900,5,0.036000,42,21,1.000000,0.030000,0.060000,0.040000,0.000000,0.064000,-7.600000,-0.400000,0.180000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,96,15,3000.000000,0.359914,0.160000,4,0.700000,cuda,40,20,55,0.000398,-0.034485,-0.052558,-0.041518,-0.008440,0.039427,0.207716,0.440757,0.312100,-0.229275,3.236900,2.529400,0.046791,2.579400,2.016800,1.448585,2.664300,1.957700,2.664251,3.325600,2.771500,0.170791,1.784900,1.319500,1.038233,2.282200,1.704700,2.522542,5,9.260000,1.529700
16,2026-01-22 09:04:14.193919,ridge,1.100000,2000,rf,250,21,8,17,sqrt,0,4,lgbm,regression,gbdt,15,1,0.032000,590,13,0.660000,0.700000,0.070000,0.150000,0,4,-1,0,cuda,672,72,48,True,18,128,525,5,5,6,5,4400.000000,0.011250,0.380000,1900,5,0.036000,42,21,1.000000,0.030000,0.060000,0.040000,0.000000,0.064000,-7.600000,-0.400000,0.180000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,512,18,4000.000000,3.553672,0.090000,4,0.700000,cuda,48,28,55,0.000398,-0.034485,-0.052558,-0.041518,-0.008440,0.059333,0.165974,0.410881,0.363812,-0.229275,3.236900,2.529400,0.046791,2.579400,2.016800,1.448585,2.664300,1.957700,2.664251,3.325600,2.771500,0.170791,1.784900,1.319500,1.250539,2.353500,1.782600,2.522542,1,9.260000,1.585400
18,2026-01-22 09:17:27.463976,ridge,1.150000,2000,rf,500,23,15,12,sqrt,0,4,lgbm,regression,gbdt,63,4,0.001000,560,9,0.840000,0.620000,0.060000,0.125000,0,4,-1,0,cuda,672,72,48,True,18,128,525,5,5,6,5,4400.000000,0.011250,0.380000,1900,5,0.036000,42,21,1.000000,0.030000,0.060000,0.040000,0.000000,0.064000,-7.600000,-0.400000,0.180000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,384,12,3500.000000,0.342492,0.070000,4,0.700000,cuda,48,16,55,0.000398,-0.034485,-0.052558,-0.041518,-0.008440,0.043875,0.245051,0.428388,0.282686,-0.229275,3.236900,2.529400,0.046791,2.579400,2.016800,1.448585,2.664300,1.957700,2.664251,3.325600,2.771500,0.170791,1.784900,1.319500,1.035460,2.259100,1.682500,2.522542,1,9.260000,1.516000
19,2026-01-22 09:23:54.972465,ridge,0.750000,2000,rf,320,28,10,18,sqrt,0,4,lgbm,regression,gbdt,31,10,0.032000,650,19,0.940000,0.800000,0.100000,0.055000,0,4,-1,0,cuda,672,72,48,True,18,128,525,5,5,6,5,4400.000000,0.011250,0.380000,1900,5,0.036000,42,21,1.000000,0.030000,0.060000,0.040000,0.000000,0.064000,-7.600000,-0.400000,0.180000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,192,19,4500.000000,1.439804,0.150000,4,0.700000,cuda,40,20,55,0.000398,-0.034485,-0.052558,-0.041518,-0.008440,0.045452,0.170984,0.486576,0.296988,-0.229275,3.236900,2.529400,0.046791,2.579400,2.016800,1.448585,2.664300,1.957700,2.664251,3.325600,2.771500,0.170791,1.784900,1.319500,1.082320,2.251100,1.677800,2.522542,5,9.260000,1.530330
20,2026-01-22 09:32:21.842262,ridge,0.550000,2000,rf,240,18,12,21,sqrt,0,4,lgbm,regression,gbdt,63,2,0.060000,730,16,0.700000,0.840000,0.090000,0.020000,0,4,-1,0,cuda,672,72,48,True,18,128,525,5,5,6,5,4400.000000,0.011250,0.380000,1900,5,0.036000,42,21,1.000000,0.030000,0.060000,0.040000,0.000000,0.064000,-7.600000,-0.400000,0.180000,0.040000,0.320000,0.100000,0.250000,0.500000,0.750000,0.900000,32,16,2500.000000,11.076362,0.110000,4,0.700000,cuda,72,28,55,0.000398,-0.034485,-0.052558,-0.041518,-0.008440,0.051378,0.165558,0.514253,0.268812,-0.229275,3.236900,2.529400,0.046791,2.579400,2.016800,1.448585,2.664300,1.957700,2.664251,3.325600,2.771500,0.170791,1.784900,1.319500,0.997823,2.239400,1.659300,2.522542,5,9.260000,1.490870
